	dap	alt	vol
1	12.01	10.4	0.054
2	17.40	20.0	0.253
3	25.01	18.3	0.367
4	22.62	22.2	0.247
5	32.12	25.9	0.857
6	17.36	19.8	0.179
7	18.68	20.1	0.281
8	30.44	22.3	0.697
9	33.86	27.7	1.424
10	15.70	18.1	0.149
11	18.88	21.2	0.325
12	33.23	27.0	1.676
13	25.59	23.9	0.501
14	13.81	41.2	0.276
15	16.01	19.2	0.156
16	34.62	24.0	8.940
17	12.86	13.3	0.075
18	14.17	17.6	0.119
19	22.91	22.7	0.398
20	11.91	10.4	0.054
21	16.65	19.1	0.176
22	26.05	24.6	0.549
23	26.40	21.8	0.523
24	30.39	24.1	0.731
25	11.63	9.6	0.048
26	28.53	25.1	0.671
