"dap" "alt" "vol" "nuevaX"
"1" 12.01 10.4 0.054 1500.09704
"2" 17.4 20 0.253 6055.2
"3" 25.01 18.3 0.367 11446.65183
"4" 22.62 22.2 0.247 11358.94968
"5" 32.12 25.9 0.857 26720.88496
"6" 17.36 19.8 0.179 5967.11808
"7" 18.68 20.1 0.281 7013.74224
"8" 30.44 22.3 0.697 20663.03728
"9" 33.86 27.7 1.424 31758.03892
"10" 15.7 18.1 0.149 4461.469
"11" 18.88 21.2 0.325 7556.83328
"12" 33.23 27 1.676 29814.2883
"13" 25.59 23.9 0.501 15650.86959
"14" 13.81 41.2 0.276 7857.50332
"15" 16.01 19.2 0.156 4921.34592
"16" 34.62 24 8.94 28765.0656
"17" 12.86 13.3 0.075 2199.54868
"18" 14.17 17.6 0.119 3533.88464
"19" 22.91 22.7 0.398 11914.50587
"20" 11.91 10.4 0.054 1475.22024
"21" 16.65 19.1 0.176 5294.94975
"22" 26.05 24.6 0.549 16693.6215
"23" 26.4 21.8 0.523 15193.728
"24" 30.39 24.1 0.731 22257.60561
"25" 11.63 9.6 0.048 1298.46624
"26" 28.53 25.1 0.671 20430.41859
