nupostes;edad;localidad
8;8.72;cauca
9;8.93;cauca
11;12.00;cauca
12;14.40;cauca
14;16.80;cauca
20;21.20;cauca
5;6.20;cauca
13;13.80;cauca
4;5.00;Santa Elena
6;4.45;Santa Elena
10;9.32;Santa Elena
14;14.90;Santa Elena
16;17.50;Santa Elena
21;23.00;Santa Elena
11;10.10;Santa Elena
10;7.50;piedecuesta
11;9.30;piedecuesta
12;12.20;piedecuesta
14;14.85;piedecuesta
17;15.30;piedecuesta
6;7.10;piedecuesta
12;13.50;piedecuesta
12;14.40;Riosucio
12;16.80;Riosucio
21;21.20;Riosucio
14;14.90;Riosucio
16;17.50;Riosucio
21;23.00;Riosucio
10;8.72;Riosucio
11;8.93;Riosucio
