;ID;sexo;clase;test;exam1;exam2;labo;final
1;est1;f;4;37;42;93;98;98
2;est2;f;4;20;22;39;56;77
3;est3;f;4;73;74;40;86;165
4;est4;f;4;21;25;45;47;81
5;est5;f;4;73;78;44;58;165
6;est6;f;4;56;65;39;22;150
7;est7;f;4;45;53;25;37;112
8;est8;f;4;74;78;67;70;167
9;est9;f;4;51;68;36;70;135
10;est10;f;4;80;84;73;78;175
11;est11;f;4;55;64;69;54;143
12;est12;f;4;24;27;75;52;82
13;est13;f;4;58;70;30;48;155
14;est14;f;4;32;38;68;26;96
15;est15;f;4;43;51;33;22;111
16;est16;f;4;45;54;22;52;116
17;est17;f;4;58;44;36;39;153
18;est18;f;4;44;45;65;38;111
19;est19;f;4;39;43;74;21;106
20;est20;f;4;54;61;56;75;140
21;est21;f;4;33;41;49;53;96
22;est22;f;4;43;49;63;66;109
23;est23;f;4;74;79;47;22;168
24;est24;m;4;58;68;48;26;154
25;est25;m;4;21;23;41;47;80
26;est26;m;4;25;28;79;59;86
27;est27;m;4;33;54;81;40;97
28;est28;m;4;77;79;42;38;172
29;est29;m;4;78;79;41;58;172
30;est30;m;4;47;56;45;68;118
31;est31;m;4;25;32;26;67;89
32;est32;m;4;67;73;44;82;162
33;est33;m;4;53;61;56;43;137
34;est34;m;4;48;59;72;66;124
35;est35;m;4;65;70;59;38;158
36;est36;m;4;40;48;60;66;106
37;est37;m;4;50;59;60;35;132
38;est38;m;4;50;60;33;71;132
39;est39;m;4;24;27;39;39;83
40;est40;m;4;38;43;53;45;105
41;est41;m;4;25;30;55;25;87
42;est42;m;4;54;45;51;61;142
43;est43;m;4;54;61;85;30;140
44;est44;m;4;67;74;21;83;162
45;est45;m;4;47;58;82;52;119
46;est46;m;4;42;48;60;71;107
47;est47;m;4;25;50;33;24;92
48;est48;m;4;89;89;22;69;180
49;est49;m;4;77;79;66;49;170
50;est50;m;4;85;85;69;82;175
